지하철역,호선명,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,작업일자
동대문,1호선,-665,-9272,-2863,-2934,-116,3551,8128,9516,5476,-939,-3300,-5726,-7688,-6156,-3347,3601,-135,-504,1754,4195,1860,220,0,0,20231103
동묘앞,1호선,-207,-1945,876,1739,9190,7535,12517,15902,12966,7716,-601,-8833,-18775,-21626,-12998,-1464,668,1674,3558,3147,1595,317,0,0,20231103
서울,1호선,-684,267,46675,69321,150839,86545,17815,-8103,-8914,-8120,1483,-22407,-32484,-78895,-125365,-56233,-40299,-42694,-30140,-15302,142,182,0,0,20231103
시청,1호선,-59,2612,22364,61918,175707,76584,35881,28937,22150,15394,-2253,-19636,-34274,-65376,-129321,-54398,-52750,-45020,-25489,-6239,532,12,0,0,20231103
신설동,1호선,-370,-6930,-1810,1189,21720,10324,2827,-1275,-3426,-4443,-4732,-4802,-7396,-14785,-19642,1734,1767,3572,5077,5850,1974,0,0,0,20231103
제기동,1호선,-441,-2948,402,-1504,4026,9113,13023,11665,7809,8413,946,-10249,-14514,-14910,-10085,-2130,-1199,2521,4366,4172,1118,0,0,0,20231103
종각,1호선,-129,891,23037,95171,243162,133973,46706,36118,21348,11545,-9188,-28460,-41685,-105810,-167335,-73721,-70819,-73785,-52467,-21377,-45,1,0,0,20231103
종로3가,1호선,-191,-1397,8579,19722,56280,49597,35938,38179,27507,15266,-2990,-23271,-35410,-47135,-59509,-40475,-38625,-40909,-32101,-12504,774,15,0,0,20231103
종로5가,1호선,-73,1781,12998,35599,84765,50762,39369,30738,16440,3477,-8402,-22004,-30842,-53552,-67246,-33359,-26147,-24224,-14243,-2608,756,3,0,0,20231103
청량리(서울시립대입구),1호선,-1199,-8496,-2153,-25264,-17024,-277,6092,7567,4990,4991,1610,-5373,-11915,-6103,8278,10499,2842,5701,7829,7345,3405,0,0,0,20231103
강남,2호선,-140,1674,34695,102643,219211,238088,93362,34260,15200,13283,-6285,-36040,-54075,-103922,-131081,-95857,-98165,-124932,-113222,-46585,-5308,211,0,0,20231103
강변(동서울터미널),2호선,-20,-6768,-1766,-47777,-68668,-46877,-29432,-22562,-16639,-9346,1887,8997,12852,23028,47671,29601,13863,12144,18747,13163,4066,167,0,0,20231103
건대입구,2호선,-361,-14344,-6702,-28573,-31651,-12377,2688,7659,8760,10478,5792,7646,13119,28692,62720,35384,-3580,-12809,-17295,-9688,3819,739,0,0,20231103
교대(법원.검찰청),2호선,-19,4011,14915,31754,111348,104363,38168,25206,17646,15582,1227,-4479,-6990,-31600,-56016,-18922,-24923,-28615,-18250,-3457,-43,38,0,0,20231103
구로디지털단지,2호선,-442,-34083,-33354,-59805,26414,19723,-13401,-20105,-20816,-9673,-4563,-124,1994,-19412,-32529,34611,26444,36597,41698,30148,9911,463,0,0,20231103
구의(광진구청),2호선,-56,-12073,-4760,-50104,-72166,-48893,-18599,-12646,-11302,-6792,-1175,6235,3323,17961,49393,42678,26757,26770,24234,15877,5234,276,0,0,20231103
